,County,Squared Area,Licensed Drivers,Population,Teenagers ,65 or older,Car Accidents,Injuries,Alcohol Related Injuries,Speed related Injuries,Unrestrained related Injuries,Year,I-81,I-95,Fatalities,avgRain,avgSnow,countyElevation
0,"Accomack, VA",1310.18,21738,32545,1724,7402,531,260,28,64,31,2017,No,No,3,43,7.2,16
1,"Albemarle, VA",726.24,70030,107702,9395,19153,2108,825,58,162,40,2017,No,No,12,44.1,14.9,737
2,"Alleghany, VA",446.93,10364,15122,922,3649,266,102,4,28,5,2017,No,No,2,39.2,17.6,2000
3,"Amelia, VA",358.57,10144,13020,756,2487,182,107,11,33,22,2017,No,No,7,44.3,10.6,303
4,"Amherst, VA",478.81,22502,31594,1826,6515,486,213,30,60,20,2017,No,No,4,43.9,13.5,1116
5,"Appomattox, VA",334.75,11386,15681,924,3198,164,84,10,26,24,2017,No,Yes,2,44.2,10.9,659
6,"Arlington, VA",25.97,169594,234965,8813,24214,2508,1036,94,207,27,2017,No,No,5,42.9,15.2,200
7,"Augusta, VA",972.28,56065,75144,4266,15357,1254,574,44,177,54,2017,Yes,No,18,38.1,21.7,1882
8,"Bath, VA",534.59,3722,4297,218,1175,65,38,7,18,9,2017,No,No,1,38.3,26.4,2206
9,"Bedford, VA",769.36,56818,77974,4653,16184,974,533,52,145,42,2017,No,No,17,44,10.5,1040
10,"Bland, VA",358.74,4704,6350,306,1437,145,61,0,21,4,2017,No,No,2,43.3,35.5,2704
11,"Botetourt, VA",545.98,25387,33192,1978,7325,712,263,21,91,23,2017,Yes,No,4,44.3,13.5,1487
12,"Brunswick, VA",569.4,10087,16244,832,3393,346,161,18,54,26,2017,No,No,5,45.6,4.4,278
13,"Buchanan, VA",503.9,16026,21514,1093,4682,271,155,15,88,29,2017,No,No,6,43.8,21.1,1871
14,"Buckingham, VA",583.6,10327,17065,804,3231,219,125,7,39,24,2017,No,No,7,43.2,14,501
15,"Campbell, VA",507.28,37010,55010,3152,10611,818,340,33,95,38,2017,No,No,8,43.7,7.3,692
16,"Caroline, VA",538.94,21495,30461,1679,4876,553,201,21,83,12,2017,No,Yes,7,42.8,13.4,160
17,"Carroll, VA",477.84,21373,29708,1638,7065,635,272,17,117,40,2017,No,No,8,49,10.7,2458
18,"Charles City, VA",203.9,5550,7004,322,1644,91,40,5,15,3,2017,No,No,0,45.6,7.4,62
19,"Charlotte, VA",477.46,8400,12119,731,2639,138,73,4,25,15,2017,No,No,0,44.4,6.1,486
20,"Chesterfield, VA",438.43,250284,343599,24569,49565,5732,2502,158,472,119,2017,No,Yes,34,44.4,8.7,199
21,"Clarke, VA",178.2,10553,14508,915,2972,274,117,16,30,10,2017,No,No,3,41.6,20.6,644
22,"Craig, VA",330.07,3817,5062,294,1139,77,37,3,8,7,2017,No,No,0,44,18.3,2180
23,"Culpeper, VA",382.32,29111,51282,3336,7803,763,634,56,78,39,2017,No,No,5,40.6,20.8,377
24,"Cumberland, VA",299.76,7014,9811,559,2143,98,56,6,25,4,2017,No,No,4,43.4,11.8,332
25,"Dickenson, VA",334.57,10073,14782,790,3154,162,81,4,40,11,2017,No,No,1,43.7,21.8,1918
26,"Dinwiddie, VA",507.04,19231,28208,1856,4835,511,280,22,57,35,2017,No,No,9,45.7,6.9,218
27,"Essex, VA",285.92,7759,11028,602,2448,234,111,12,23,15,2017,No,No,3,43.1,12.4,86
28,"Fairfax, VA",406.81,781154,1148433,72683,150075,13631,6418,331,1426,143,2017,No,No,35,41.6,21.6,266
29,"Fauquier, VA",651.83,51416,69465,4770,11150,1695,798,84,177,45,2017,No,No,9,41.9,20,530
30,"Floyd, VA",381.49,11768,15755,890,3497,130,50,6,15,5,2017,No,No,1,45.3,20.9,2588
31,"Fluvanna, VA",290.23,20011,26452,1508,5182,252,105,15,28,7,2017,No,No,6,42.7,14.6,383
32,"Franklin, VA",711.6,38573,56445,3477,12995,915,470,46,102,49,2017,No,No,12,44.9,17.7,1200
33,"Frederick, VA",415.66,61206,86484,5408,14555,1278,481,40,135,38,2017,Yes,No,22,38.5,21.7,913
34,"Giles, VA",360.97,11056,16837,1020,3642,214,83,13,25,17,2017,No,No,5,37.7,23.3,2472
35,"Gloucester, VA",288.02,30363,37292,2142,6869,425,253,29,61,22,2017,No,No,7,45.5,4.8,40
36,"Goochland, VA",290.01,18132,22685,1307,4896,539,324,29,77,24,2017,No,No,5,42.4,13.7,273
37,"Grayson, VA",445.93,10882,15665,803,3757,192,80,15,35,6,2017,No,No,0,50.9,11.2,3011
38,"Greene, VA",156.98,14595,19612,1236,3251,216,115,6,18,4,2017,No,No,3,44.5,14.1,1141
39,"Greensville, VA",296.83,5656,11679,552,1736,186,136,14,50,30,2017,No,Yes,2,45.3,3.2,147
40,"Halifax, VA",824.05,20753,34563,2006,8167,524,301,25,77,17,2017,No,No,9,44.6,5.4,462
41,"Hanover, VA",474.11,82429,105923,7526,18271,1808,827,59,155,47,2017,No,Yes,13,43.4,16.3,180
42,"Henrico, VA",243.22,228621,327898,20009,49189,6080,2831,148,266,102,2017,No,No,24,43.6,14.1,142
43,"Henry, VA",384.41,36443,51227,2842,12056,642,387,35,105,44,2017,No,No,13,45.2,5.7,912
44,"Highland, VA",415.88,1928,2212,76,723,43,14,1,7,0,2017,No,No,0,42.3,46.6,2853
45,"Isle of Wight, VA",362.79,23708,36552,2135,6778,610,241,22,59,39,2017,No,No,4,47.2,4.6,53
46,"James City, VA",179.73,48894,75524,4349,18681,1002,715,47,98,24,2017,No,No,15,46.3,7.9,61
47,"King and Queen, VA",326.35,5271,7003,368,1567,158,65,7,17,6,2017,No,No,4,43.6,10.8,86
48,"King George, VA",187.81,18695,26337,1730,3363,375,155,19,51,12,2017,No,No,9,40.7,13.6,83
49,"King William, VA",285.67,11931,16708,988,2635,273,107,12,21,11,2017,No,No,3,43.6,11.6,87
50,"Lancaster, VA",231.36,8596,10788,451,3836,96,50,5,12,7,2017,No,No,3,45.4,7.7,39
51,"Lee, VA",437.34,15108,23758,1226,4868,300,172,11,60,18,2017,No,No,3,47.9,14.8,1755
52,"Loudoun, VA",521.14,275764,398080,27430,35607,4875,2081,117,294,71,2017,No,No,22,41.9,21.6,457
53,"Louisa, VA",510.83,26750,35860,1878,6937,501,221,18,53,28,2017,No,No,7,44.3,14.9,362
54,"Lunenburg, VA",432.4,7829,12235,607,2627,136,59,9,18,7,2017,No,No,5,45.5,5.5,424
55,"Madison, VA",321.81,10363,13277,758,2885,189,86,7,23,7,2017,No,No,3,43.1,19.1,982
56,"Mathews, VA",251.98,7115,8779,469,2704,84,66,3,14,6,2017,No,No,2,45.9,3.5,3
57,"Mecklenburg, VA",679.34,20952,30686,1623,7735,461,229,37,59,22,2017,No,No,10,43.8,3.7,359
58,"Middlesex, VA",210.76,8513,10679,467,3318,100,90,8,20,11,2017,No,No,2,45,10.6,48
59,"Montgomery, VA",389.44,37912,98559,10698,12009,1714,980,75,166,57,2017,Yes,No,13,40,24.1,2020
60,"Nelson, VA",474.34,12097,14943,797,3943,292,101,17,20,7,2017,No,No,4,43.3,16.4,1131
61,"New Kent, VA",223.77,16937,21682,1258,3648,475,191,19,77,15,2017,No,No,3,45.7,8.8,88
62,"Northampton, VA",795.4,7938,11846,580,3046,207,75,10,24,12,2017,No,No,3,43.9,5.8,15
63,"Northumberland, VA",285.68,9880,12275,535,4418,86,51,14,17,10,2017,No,No,1,44.5,10.4,47
64,"Nottoway, VA",316.13,8853,15434,825,2896,210,106,15,34,12,2017,No,No,3,45.8,6.9,369
65,"Orange, VA",343.44,25660,36073,2069,7305,402,191,26,34,28,2017,No,No,8,42.8,17.5,422
66,"Page, VA",314.11,15555,23731,1279,4983,248,199,19,50,22,2017,No,No,3,38.9,21.7,1417
67,"Patrick, VA",485.88,13372,17665,892,4576,177,109,8,55,10,2017,No,No,6,48.7,8,1576
68,"Pittsylvania, VA",978.21,42929,61258,3617,13454,787,413,28,93,59,2017,No,No,14,44.7,5.6,699
69,"Powhatan, VA",262.42,23719,28601,1691,5073,302,182,25,72,31,2017,No,No,4,42.9,10.2,275
70,"Prince Edward, VA",353.87,11946,22703,2624,3689,358,204,24,47,28,2017,No,No,7,43.8,10.8,465
71,"Prince George, VA",281.55,23243,37809,2359,5174,488,245,13,45,16,2017,No,Yes,6,46.4,5.9,88
72,"Prince William, VA",349.05,309656,463023,32028,43886,5540,2652,163,538,97,2017,No,Yes,22,41.7,21.6,268
73,"Pulaski, VA",329.6,19191,34184,1768,7648,572,240,15,58,23,2017,Yes,No,9,36.9,23.5,2171
74,"Rappahannock, VA",266.86,6221,7321,404,1938,157,98,6,18,15,2017,No,No,3,46.6,22.6,995
75,"Richmond, VA",216.4,6577,8939,416,1907,97,51,4,13,11,2017,No,No,1,44.1,11.5,75
76,"Roanoke, VA",250.84,70071,93730,5779,19552,1437,627,43,150,45,2017,Yes,No,8,43.6,15.5,1726
77,"Rockbridge, VA",601.02,16480,22659,1255,5728,632,289,30,83,32,2017,Yes,No,8,42.1,18.6,1602
78,"Rockingham, VA",853.35,54672,80227,5458,14933,1149,469,39,147,48,2017,Yes,No,12,38.5,29.4,1707
79,"Russell, VA",476.78,19515,27048,1448,5632,393,205,12,79,24,2017,No,No,8,43.9,33.9,2241
80,"Scott, VA",538.66,15981,21865,1150,5153,394,174,3,54,22,2017,No,No,4,47,14.5,1812
81,"Shenandoah, VA",512.56,29962,43225,2452,9169,695,289,22,137,36,2017,Yes,No,4,36.4,24.1,1256
82,"Smyth, VA",452.33,19146,30656,1743,6598,420,251,15,67,25,2017,Yes,No,3,42.3,28,2681
83,"Southampton, VA",603.07,11549,17750,991,3481,201,204,13,38,36,2017,No,No,4,47.3,3.5,63
84,"Spotsylvania, VA",412.3,87622,133033,9288,18218,2272,927,72,222,82,2017,No,Yes,12,42.1,13.1,281
85,"Stafford, VA",279.55,98237,146649,10995,14782,2372,768,54,236,37,2017,No,Yes,9,41.7,12.7,207
86,"Surry, VA",310.32,5137,6540,349,1412,80,41,0,12,4,2017,No,No,1,47.2,5.5,77
87,"Sussex, VA",492.86,6151,11373,502,1933,271,140,14,27,12,2017,No,Yes,13,45.7,6.6,94
88,"Tazewell, VA",519.91,26399,41095,2187,8894,656,339,14,63,20,2017,No,No,5,46.2,20.1,2713
